"","water_year","month","date","species","run","source_tank_id","surgeon","crew","vial_number","weight_gr","fork_length_mm","tag_id_hex","tag_activation_date","anesthetic_time_mmss","anesthetic_time_sec","surgery_time_mmss","surgery_time_sec","recovery_time_mmss","recovery_time_sec","comments","release_container_id","release_id","post_tagging_tank","entered_by","qaqc_by","qaqc_comments","block"
"22","2025","Jan",2025-01-14,"Chinook Salmon","late-fall","BT-2","AC","NJ, KB","D6",59.2,169,"250A",2025-01-10,"2:41",161,"1:33",93,"3:07",187,"Dummy Tag",NA,"Block 4 NA","A","CY","SB","","Block 4"
"23","2025","Jan",2025-01-14,"Chinook Salmon","late-fall","BT-2","AC","NJ, KB","D7",21.6,132,"1EDA",2025-01-10,"3:12",192,"1:53",113,"1:05",65,"Dummy Tag, Skinny",NA,"Block 4 NA","A","CY","SB","","Block 4"
"24","2025","Jan",2025-01-14,"Chinook Salmon","late-fall","BT-2","AC","NJ, KB","D8",81.5,181,"23A9",2025-01-10,"2:47",167,"1:38",98,"1:06",66,"Dummy Tag, Jumpy",NA,"Block 4 NA","A","CY","SB","","Block 4"
"25","2025","Jan",2025-01-15,"Chinook Salmon","late-fall","BT-3","NJ","AC, EH, CC","D1",24.8,135,"A361",2025-01-10,"2:32",152,"2:00",120,"3:20",200,"Dummy Tag",NA,"Block 4 NA","B","EH","SB","","Block 4"
"26","2025","Jan",2025-01-15,"Chinook Salmon","late-fall","BT-3","NJ","AC, EH, CC","D2",30.3,147,"A465",2025-01-10,"3:07",187,"1:43",103,"1:00",60,"Dummy Tag",NA,"Block 4 NA","B","EH","SB","","Block 4"
"27","2025","Jan",2025-01-15,"Chinook Salmon","late-fall","BT-3","NJ","AC, EH, CC","D3",25.2,139,"95BA",2025-01-10,"2:21",141,"1:10",70,"3:00",180,"Dummy Tag",NA,"Block 4 NA","B","EH","SB","","Block 4"
"28","2025","Jan",2025-01-15,"Chinook Salmon","late-fall","BT-3","NJ","AC, EH, CC","D4",29.3,145,"A17D",2025-01-10,"2:34",154,"1:52",112,"3:49",229,"Dummy Tag. Skinny",NA,"Block 4 NA","B","EH","SB","","Block 4"
"29","2025","Jan",2025-01-15,"Chinook Salmon","late-fall","BT-4","AC","NJ","D5",90.3,190,"96A6",2025-01-10,"2:30",150,"1:23",83,"4:22",262,"Dummy Tag",NA,"Block 4 NA","B","EH","SB","","Block 4"
"30","2025","Jan",2025-01-15,"Chinook Salmon","late-fall","BT-4","AC","NJ, PH","D6",29.3,147,"9CA1",2025-01-10,"2:17",137,"1:34",94,"1:22",82,"Dummy Tag. Skinny",NA,"Block 4 NA","B","EH","SB","","Block 4"
"31","2025","Jan",2025-01-15,"Chinook Salmon","late-fall","BT-4","AC","NJ, PH","D7",34.1,152,"A11D",2025-01-10,"2:31",151,"1:25",85,"1:32",92,"Dummy Tag",NA,"Block 4 NA","B","EH","SB","","Block 4"
"32","2025","Jan",2025-01-15,"Chinook Salmon","late-fall","BT-4","AC","NJ, PH","D8",51.1,165,"1D58",2025-01-10,"2:22",142,"1:27",87,"1:40",100,"Dummy Tag. Jumpy",NA,"Block 4 NA","B","EH","SB","","Block 4"
"33","2025","Feb",2025-02-11,"Chinook Salmon","late-fall","O-4","NJ","AC, BP","D1",23,141,"9639",2025-02-07,"2:33",153,"1:50",110,"1:25",85,"Skinny, all control fish placed directly into holding tank and observed for recovery",NA,"Block 5 NA","H-4","CY","BP","","Block 5"
"34","2025","Feb",2025-02-11,"Chinook Salmon","late-fall","O-4","NJ","AC, BP","D2",54.4,171,"26A1",2025-02-07,"2:03",123,"1:32",92,"2:00",120,"",NA,"Block 5 NA","H-4","CY","BP","","Block 5"
"35","2025","Feb",2025-02-11,"Chinook Salmon","late-fall","O-4","NJ","AC, BP","D3",97.4,200,"14B0",2025-02-07,"2:46",166,"1:34",94,"1:48",108,"",NA,"Block 5 NA","H-4","CY","BP","","Block 5"
"36","2025","Feb",2025-02-11,"Chinook Salmon","late-fall","O-4","NJ","AC, BP","D4",28.7,146,"2055",2025-02-07,"2:26",146,"1:28",88,"2:02",122,"",NA,"Block 5 NA","H-4","CY","BP","","Block 5"
"37","2025","Feb",2025-02-11,"Chinook Salmon","late-fall","O-4","AC","NJ, BP","D5",25.8,143,"24EA",2025-02-07,"2:18",138,"1:54",114,"1:50",110,"skinny",NA,"Block 5 NA","H-4","CY","BP","","Block 5"
"38","2025","Feb",2025-02-11,"Chinook Salmon","late-fall","O-4","AC","NJ, BP","D6",40.6,151,"250C",2025-02-07,"1:48",108,"1:34",94,"2:53",173,"",NA,"Block 5 NA","H-4","CY","BP","","Block 5"
"39","2025","Feb",2025-02-11,"Chinook Salmon","late-fall","O-4","AC","NJ, BP","D7",134.8,215,"2866",2025-02-07,"2:45",165,"3:09",189,"1:20",80,"",NA,"Block 5 NA","H-4","CY","BP","","Block 5"
"40","2025","Feb",2025-02-11,"Chinook Salmon","late-fall","O-4","AC","NJ, BP","D8",26.1,149,"153E",2025-02-07,"2:13",133,"1:38",98,"3:15",195,"Skinny",NA,"Block 5 NA","H-4","CY","BP","","Block 5"
"41","2025","Feb",2025-02-12,"Chinook Salmon","late-fall","O-5","NJ","AC, EH","D1",72.3,183,"94A4",2025-02-07,"2:13",133,"1:48",108,"3:28",208,"Control fish are being directly placed in tank from net",NA,"Block 5 NA","H-4","EH","BP","","Block 5"
"42","2025","Feb",2025-02-12,"Chinook Salmon","late-fall","O-5","NJ","AC, EH","D2",84.8,190,"2224",2025-02-07,"2:20",140,"1:28",88,"2:26",146,"",NA,"Block 5 NA","H-4","EH","BP","","Block 5"
"43","2025","Feb",2025-02-12,"Chinook Salmon","late-fall","O-5","NJ","AC, EH","D3",67.3,174,"9354",2025-02-07,"2:06",126,"1:12",72,"2:20",140,"",NA,"Block 5 NA","H-4","EH","BP","","Block 5"
"44","2025","Feb",2025-02-12,"Chinook Salmon","late-fall","O-5","NJ","AC, EH","D4",35.1,185,"16E4",2025-02-07,"2:05",125,"1:26",86,"3:12",192,"",NA,"Block 5 NA","H-4","EH","BP","","Block 5"
"45","2025","Feb",2025-02-12,"Chinook Salmon","late-fall","O-5","AC","NJ, EH","D5",51.2,161,"93B1",2025-02-07,"2:03",123,"1:51",111,"2:15",135,"",NA,"Block 5 NA","H-4","EH","BP","","Block 5"
"46","2025","Feb",2025-02-12,"Chinook Salmon","late-fall","O-5","AC","NJ, EH","D6",65.7,179,"9D25",2025-02-07,"2:12",132,"1:34",94,"1:00",60,"",NA,"Block 5 NA","H-4","EH","BP","","Block 5"
"47","2025","Feb",2025-02-12,"Chinook Salmon","late-fall","O-5","AC","NJ, EH","D7",91.5,196,"1DD2",2025-02-07,"2:13",133,"1:32",92,"2:50",170,"",NA,"Block 5 NA","H-4","EH","BP","","Block 5"
"48","2025","Feb",2025-02-12,"Chinook Salmon","late-fall","O-5","AC","NJ, EH","D8",76.4,181,"1D28",2025-02-07,"2:00",120,"1:36",96,"2:24",144,"",NA,"Block 5 NA","H-4","EH","BP","","Block 5"
"49","2025","Apr",2025-04-15,"Chinook Salmon","fall","BT-4","AC","EH, AL","D5",5.9,81,"1D84",2025-04-11,"1:43",103,"1:33",93,"1:00",60,"",NA,"Block 7 NA","A","PH","BP","","Block 7"
"50","2025","Apr",2025-04-15,"Chinook Salmon","fall","BT-4","EH","AC, AL","D1",7.3,87,"1D58",2025-04-11,"2:20",140,"2:29",149,"1:15",75,"",NA,"Block 7 NA","A","PH","BP","","Block 7"
"51","2025","Apr",2025-04-15,"Chinook Salmon","fall","BT-4","AC","EH, AL","D6",7.5,85,"96DC",2025-04-11,"2:14",134,"1:30",90,"0:53",53,"",NA,"Block 7 NA","A","PH","BP","","Block 7"
"52","2025","Apr",2025-04-15,"Chinook Salmon","fall","BT-4","EH","AC, AL","D4",7.6,90,"A284",2025-04-11,"2:40",160,"2:00",120,"2:31",151,"",NA,"Block 7 NA","A","PH","BP","","Block 7"
"53","2025","Apr",2025-04-15,"Chinook Salmon","fall","BT-4","EH","AC, AL","D2",7.8,88,"96D8",2025-04-11,"1:37",97,"2:18",138,"1:00",60,"",NA,"Block 7 NA","A","PH","BP","","Block 7"
"54","2025","Apr",2025-04-15,"Chinook Salmon","fall","BT-4","EH","AC, AL","D3",8,88,"A361",2025-04-11,"2:31",151,"2:09",129,"3:00",180,"",NA,"Block 7 NA","A",NA,"BP","","Block 7"
"55","2025","Apr",2025-04-15,"Chinook Salmon","fall","BT-4","AC","EH, AL","D7",8.2,89,"153E",2025-04-11,"2:28",148,"1:41",101,"2:38",158,"",NA,"Block 7 NA","A","PH","BP","","Block 7"
"56","2025","Apr",2025-04-15,"Chinook Salmon","fall","BT-4","AC","EH, AL","D8",8.4,90,"A359",2025-04-11,"2:09",129,"1:32",92,"1:05",65,"",NA,"Block 7 NA","A","PH","BP","","Block 7"
"57","2025","Apr",2025-04-16,"Chinook Salmon","fall","BT-3","EH","AC, CW","D3",5.2,79,"94A4",2025-04-11,"2:31",151,"2:10",130,"2:45",165,"",NA,"Block 7 NA","B","PH","BP","","Block 7"
"58","2025","Apr",2025-04-16,"Chinook Salmon","fall","BT-3","EH","AC, CW","D4",5.5,78,"250C",2025-04-11,"2:43",163,"2:18",138,"1:08",68,"",NA,"Block 7 NA","B","PH","BP","","Block 7"
"59","2025","Apr",2025-04-16,"Chinook Salmon","fall","BT-3","AC","EH, CC","D6",6.6,83,"2724",2025-04-11,"2:23",143,"2:05",125,"2:34",154,"",NA,"Block 7 NA","B","PH","BP","","Block 7"
"60","2025","Apr",2025-04-16,"Chinook Salmon","fall","BT-3","AC","EH, CC","D5",6.8,84,"9715",2025-04-11,"2:09",129,"2:11",131,"2:08",128,"",NA,"Block 7 NA","B","PH","BP","","Block 7"
"61","2025","Apr",2025-04-16,"Chinook Salmon","fall","BT-3","AC","EH, CC","D7",7.1,85,"A23A",2025-04-11,"2:18",138,"1:51",111,"2:38",158,"",NA,"Block 7 NA","B","PH","BP","","Block 7"
"62","2025","Apr",2025-04-16,"Chinook Salmon","fall","BT-3","AC","EH, CC","D8",7.1,86,"9CAE",2025-04-11,"2:04",124,"1:54",114,"1:23",83,"","RT-16","Block 7 RT-16",NA,"PH","BP","","Block 7"
"63","2025","Apr",2025-04-16,"Chinook Salmon","fall","BT-3","EH","AC, CW","D1",7.3,86,"9B67",2025-04-11,"1:33",93,"2:32",152,"1:05",65,"",NA,"Block 7 NA","B","PH","BP","","Block 7"
"64","2025","Apr",2025-04-16,"Chinook Salmon","fall","BT-3","EH","AC, CW","D2",7.5,86,"96A6",2025-04-11,"2:27",147,"2:22",142,"1:59",119,"",NA,"Block 7 NA","B","PH","BP","","Block 7"
"65","2026","Dec",2025-12-01,"Chinook Salmon","late-fall","O-1","AC","HS, AK, JG","D1",22.8,120,"A284",2025-11-25,"3:17",197,"1:24",84,"1:06",66,"",NA,"Block 1 NA","I-3","SB","HS","","Block 1"
"66","2026","Dec",2025-12-01,"Chinook Salmon","late-fall","O-1","AC","HS, JG","D2",16.1,110,"2176",2025-11-25,"3:12",192,"1:36",96,"4:00",240,"",NA,"Block 1 NA","I-3","SB","HS","","Block 1"
"67","2026","Dec",2025-12-01,"Chinook Salmon","late-fall","O-1","HS","AC, JG","D3",11.5,91,"94A4",2025-11-25,"2:52",172,"1:45",105,"2:02",122,"",NA,"Block 1 NA","I-3","SB","HS","","Block 1"
"68","2026","Dec",2025-12-01,"Chinook Salmon","late-fall","O-1","HS","AC, JG","D4",42.4,150,"76ED",2025-11-25,"3:00",180,"1:30",90,"4:15",255,"",NA,"Block 1 NA","I-3","SB","HS","","Block 1"
"69","2026","Dec",2025-12-02,"Chinook Salmon","late-fall","O-4","HS","AC, AK","D1",17.3,112,"2224",2025-11-25,"3:16",196,"1:31",91,"4:38",278,"",NA,"Block 1 NA","I-3","HS","SB","","Block 1"
"70","2026","Dec",2025-12-02,"Chinook Salmon","late-fall","O-4","HS","AC, AK","D2",38.2,148,"9F56",2025-11-25,"3:07",187,"1:43",103,"3:28",208,"",NA,"Block 1 NA","I-3","HS","SB","","Block 1"
"71","2026","Dec",2025-12-02,"Chinook Salmon","late-fall","O-4","AC","HS, JG","D3",37.3,144,"9484",2025-11-25,"2:56",176,"1:39",99,"0:51",51,"",NA,"Block 1 NA","I-3","HS","SB","","Block 1"
"72","2026","Dec",2025-12-02,"Chinook Salmon","late-fall","O-4","AC","HS, JG","D4",36.8,140,"2568",2025-11-25,"3:03",183,"2:02",122,"2:43",163,"second incision",NA,"Block 1 NA","I-3","HS","SB","","Block 1"
"73","2026","Dec",2025-12-03,"Chinook Salmon","late-fall","O-5","HS","AC, AK","D1",10.7,98,"A361",2025-11-25,"3:32",212,"1:22",82,"4:17",257,"",NA,"Block 1 NA","I-3","HS","SB","","Block 1"
"74","2026","Dec",2025-12-03,"Chinook Salmon","late-fall","O-5","HS","AC, AK","D2",33.9,142,"1DD2",2025-11-25,"2:59",179,"1:19",79,"4:24",264,"",NA,"Block 1 NA","I-3","HS","SB","","Block 1"
"75","2026","Dec",2025-12-03,"Chinook Salmon","late-fall","O-5","AC","HS, AK","D3",24.4,122,"9CA1",2025-11-25,"2:45",165,"1:17",77,"4:17",257,"",NA,"Block 1 NA","I-3","HS","SB","","Block 1"
"76","2026","Dec",2025-12-03,"Chinook Salmon","late-fall","O-5","AC","HS, AK","D4",18,114,"24EA",2025-11-25,"2:50",170,"2:04",124,"3:40",220,"jumpy, second incision",NA,"Block 1 NA","I-3","HS","SB","","Block 1"
"77","2026","Dec",2025-12-08,"Chinook Salmon","late-fall","O-6","HS","AC, AK","D1",36.2,138,"96D8",2025-12-04,"2:46",166,"1:18",78,"4:20",260,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"78","2026","Dec",2025-12-08,"Chinook Salmon","late-fall","O-6","HS","AC, AK","D2",46.3,160,"2055",2025-12-04,"3:13",193,"1:38",98,"1:55",115,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"79","2026","Dec",2025-12-08,"Chinook Salmon","late-fall","O-6","AC","HS, AK","D3",17.8,116,"9DBD",2025-12-04,"2:49",169,"1:15",75,"4:43",283,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"80","2026","Dec",2025-12-08,"Chinook Salmon","late-fall","O-6","AC","HS, AK","D4",35.8,144,"9362",2025-12-04,"2:40",160,"1:32",92,"3:10",190,"jumpy",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"81","2026","Dec",2025-12-09,"Chinook Salmon","late-fall","O-7","HS","AC, JI","D1",34.9,139,"16C6",2025-12-04,"3:19",199,"1:32",92,"1:25",85,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"82","2026","Dec",2025-12-09,"Chinook Salmon","late-fall","O-7","HS","AC, JI","D2",32.2,135,"95E9",2025-12-04,"3:12",192,"1:28",88,"4:38",278,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"83","2026","Dec",2025-12-09,"Chinook Salmon","late-fall","O-7","AC","HS, JI","D3",24.8,126,"95BA",2025-12-04,"2:40",160,"1:18",78,"1:00",60,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"84","2026","Dec",2025-12-09,"Chinook Salmon","late-fall","O-7","AC","HS, JI","D4",36.6,144,"2866",2025-12-04,"2:58",178,"1:28",88,"2:49",169,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"85","2026","Dec",2025-12-10,"Chinook Salmon","late-fall","O-9","HS","AC, JI","D1",31.6,134,"14B0",2025-12-04,"4:14",254,"1:04",64,"4:42",282,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"86","2026","Dec",2025-12-10,"Chinook Salmon","late-fall","O-9","HS","AC, JI","D2",27.7,132,"A23A",2025-12-04,"2:52",172,"1:35",95,"2:50",170,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"87","2026","Dec",2025-12-10,"Chinook Salmon","late-fall","O-9","AC","HS, JI","D3",30.9,134,"957C",2025-12-04,"2:45",165,"1:19",79,"4:09",249,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"88","2026","Dec",2025-12-10,"Chinook Salmon","late-fall","O-9","AC","HS, JI","D4",22.2,119,"9613",2025-12-04,"3:04",184,"1:30",90,"2:18",138,"",NA,"Block 2 NA","I-3","HS","SB","","Block 2"
"89","2026","Jan",2026-01-05,"Chinook Salmon","late-fall","O-4","HS","AC, JI","D1",21.9,121,"95E9",2026-01-02,"2:58",178,"1:45",105,"1:00",60,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"90","2026","Jan",2026-01-05,"Chinook Salmon","late-fall","O-4","HS","AC, JI","D2",32.6,137,"24EA",2026-01-02,"2:44",164,"1:08",68,"5:46",346,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"91","2026","Jan",2026-01-05,"Chinook Salmon","late-fall","O-4","AC","HS, JI","D3",49.2,158,"96D8",2026-01-02,"3:26",206,"1:55",115,"3:39",219,"jumpy, tag insertion was perpendicular",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"92","2026","Jan",2026-01-05,"Chinook Salmon","late-fall","O-4","AC","HS, JI","D4",33.3,136,"A284",2026-01-02,"3:06",186,"1:33",93,"4:51",291,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"93","2026","Jan",2026-01-06,"Chinook Salmon","late-fall","O-5","HS","AC, AK","D1",50.4,153,"2568",2026-01-02,"2:49",169,"1:10",70,"3:57",237,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"94","2026","Jan",2026-01-06,"Chinook Salmon","late-fall","O-5","HS","AC, AK","D2",67.8,170,"95BA",2026-01-02,"2:44",164,"1:08",68,"4:18",258,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"95","2026","Jan",2026-01-06,"Chinook Salmon","late-fall","O-5","AC","HS, AK","D3",35.3,143,"9362",2026-01-02,"2:47",167,"1:06",66,"2:38",158,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"96","2026","Jan",2026-01-06,"Chinook Salmon","late-fall","O-5","AC","HS, AK","D4",46.3,150,"2176",2026-01-02,"2:59",179,"1:51",111,"2:44",164,"jumpy - jagged incision",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"97","2026","Jan",2026-01-07,"Chinook Salmon","late-fall","O-6","HS","AC, JI","D1",35.2,141,"94A4",2026-01-02,"2:14",134,"1:29",89,"2:52",172,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"98","2026","Jan",2026-01-07,"Chinook Salmon","late-fall","O-6","HS","AC, JI","D2",56.1,162,"A361",2026-01-02,"3:12",192,"1:13",73,"1:53",113,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"99","2026","Jan",2026-01-07,"Chinook Salmon","late-fall","O-6","AC","HS, AK","D3",30.7,132,"14B0",2026-01-02,"3:39",219,"1:33",93,"3:42",222,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"100","2026","Jan",2026-01-07,"Chinook Salmon","late-fall","O-6","AC","HS, AK","D4",29.2,131,"76ED",2026-01-02,"2:57",177,"1:27",87,"3:34",214,"",NA,"Block 3 NA","I-3","HS","SB","","Block 3"
"101","2026","Jan",2026-01-12,"Chinook Salmon","late-fall","O-4","HS","AC, AK","D1",40.6,145,"9CA1",2026-01-08,"3:14",194,"1:22",82,"1:35",95,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"102","2026","Jan",2026-01-12,"Chinook Salmon","late-fall","O-4","HS","AC, AK","D2",54.4,168,"9F56",2026-01-08,"3:22",202,"1:50",110,"1:35",95,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"103","2026","Jan",2026-01-12,"Chinook Salmon","late-fall","O-4","AC","HS, AK","D3",11.2,96,"9613",2026-01-08,"3:43",223,"1:11",71,"3:26",206,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"104","2026","Jan",2026-01-12,"Chinook Salmon","late-fall","O-4","AC","HS, AK","D4",32.8,139,"16C6",2026-01-08,"3:23",203,"1:15",75,"3:37",217,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"105","2026","Jan",2026-01-13,"Chinook Salmon","late-fall","O-5","HS","AC, JI","D1",27.6,130,"1DD2",2026-01-08,"3:14",194,"1:07",67,"4:46",286,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"106","2026","Jan",2026-01-13,"Chinook Salmon","late-fall","O-5","HS","AC, JI","D2",47.5,152,"2055",2026-01-08,"3:25",205,"1:12",72,"3:22",202,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"107","2026","Jan",2026-01-13,"Chinook Salmon","late-fall","O-5","AC","HS, JI","D3",34.3,137,"2866",2026-01-08,"3:05",185,"1:32",92,"4:43",283,"jumpy",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"108","2026","Jan",2026-01-13,"Chinook Salmon","late-fall","O-5","AC","HS, JI","D4",40.7,145,"9484",2026-01-08,"2:47",167,"1:12",72,"3:53",233,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"109","2026","Jan",2026-01-14,"Chinook Salmon","late-fall","O-6","HS","AC, AK","D1",51,158,"A23A",2026-01-08,"2:39",159,"2:06",126,"3:39",219,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"110","2026","Jan",2026-01-14,"Chinook Salmon","late-fall","O-6","HS","AC, AK","D2",76.2,173,"2224",2026-01-08,"3:21",201,"1:16",76,"2:27",147,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"111","2026","Jan",2026-01-14,"Chinook Salmon","late-fall","O-6","AC","HS, AK","D3",58.3,165,"9DBD",2026-01-08,"3:39",219,"1:20",80,"4:11",251,"jumpy",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
"112","2026","Jan",2026-01-14,"Chinook Salmon","late-fall","O-6","AC","HS, AK","D4",76.3,178,"957C",2026-01-08,"4:00",240,"1:32",92,"3:49",229,"",NA,"Block 4 NA","I-3","HS","SB","","Block 4"
