"","water_year","block","rel_id","release_date","release_time","lunar_phase","fish_released","discharge","temperature","turbidity","velocity","month"
"40","2024","Block 2","RT-3",2023-12-13,"15:09","New",10,1660,9.8,4.2,0.13,"Dec"
"41","2024","Block 2","RT-4",2023-12-13,"18:05","New",10,12100,9.7,5.1,0.94,"Dec"
"42","2024","Block 2","RT-5",2023-12-13,"21:18","New",10,14600,9.6,6.2,1.18,"Dec"
"43","2024","Block 2","RT-6",2023-12-14,"0:15","New",10,15500,9.4,6.3,1.31,"Dec"
"44","2024","Block 2","RT-7",2023-12-14,"3:12","New",10,11900,9.5,7,1.02,"Dec"
"45","2024","Block 2","RT-8",2023-12-14,"6:04","New",10,6510,9.4,5.8,0.53,"Dec"
"46","2024","Block 2","RT-9",2023-12-14,"9:12","New",10,11200,9.5,5.8,0.93,"Dec"
"47","2024","Block 3","RT-1",2024-01-10,"9:14","New",10,17700,8.7,15.8,1.42,"Jan"
"48","2024","Block 3","RT-10",2024-01-11,"12:14","New",10,15800,8.7,17.4,1.26,"Jan"
"49","2024","Block 3","RT-11",2024-01-11,"15:20","New",10,10800,8.8,15,0.81,"Jan"
"50","2024","Block 3","RT-12",2024-01-11,"18:09","New",10,16900,8.7,15.3,1.28,"Jan"
"51","2024","Block 3","RT-13",2024-01-11,"21:07","New",10,19400,8.6,15.8,1.52,"Jan"
"52","2024","Block 3","RT-14",2024-01-12,"0:11","New",10,20200,8.6,16.3,1.64,"Jan"
"53","2024","Block 3","RT-15",2024-01-12,"3:09","New",10,17900,8.6,16.7,1.47,"Jan"
"54","2024","Block 3","RT-16",2024-01-12,"6:11","New",10,14800,8.6,15.9,1.19,"Jan"
"55","2024","Block 3","RT-17",2024-01-12,"9:13","New",10,17000,8.5,17.9,1.37,"Jan"
"56","2024","Block 3","RT-18",2024-01-12,"12:14","New",10,16900,8.5,15.6,1.37,"Jan"
"57","2024","Block 3","RT-19",2024-01-12,"15:08","New",10,10600,8.5,14.9,0.81,"Jan"
"58","2024","Block 3","RT-2",2024-01-10,"12:12","New",10,11800,8.7,13.3,0.91,"Jan"
"59","2024","Block 3","RT-20",2024-01-12,"18:09","New",10,15400,8.4,12.9,1.17,"Jan"
"60","2024","Block 3","RT-21",2024-01-12,"21:16","New",10,19100,8.4,14.7,1.5,"Jan"
"61","2024","Block 3","RT-22",2024-01-13,"0:10","New",10,20000,8.5,15.9,1.62,"Jan"
"62","2024","Block 3","RT-23",2024-01-13,"3:10","New",10,18600,8.5,17.3,1.54,"Jan"
"63","2024","Block 3","RT-24",2024-01-13,"6:10","New",10,14500,8.5,17.7,1.17,"Jan"
"64","2024","Block 3","RT-3",2024-01-10,"15:09","New",10,10700,8.7,13.2,0.78,"Jan"
"65","2024","Block 3","RT-4",2024-01-10,"18:10","New",10,17700,8.7,14.7,1.32,"Jan"
"66","2024","Block 3","RT-5",2024-01-10,"21:13","New",10,20000,8.7,15.5,1.56,"Jan"
"67","2024","Block 3","RT-6",2024-01-11,"0:10","New",10,20300,8.7,17.5,1.64,"Jan"
"68","2024","Block 3","RT-7",2024-01-11,"3:06","New",10,16600,8.7,18.7,1.33,"Jan"
"69","2024","Block 3","RT-8",2024-01-11,"6:01","New",10,15400,8.7,17.6,1.22,"Jan"
"70","2024","Block 3","RT-9",2024-01-11,"9:22","New",10,17800,8.6,18.3,1.42,"Jan"
"71","2024","Block 4","RT-1",2024-01-17,"9:11","Waxing",10,22900,8.6,168,1.7,"Jan"
"72","2024","Block 4","RT-10",2024-01-18,"12:14","Waxing",10,21700,9.2,96.4,1.62,"Jan"
"73","2024","Block 4","RT-11",2024-01-18,"15:09","Waxing",10,24300,9.2,81.9,1.84,"Jan"
"74","2024","Block 4","RT-12",2024-01-18,"18:14","Waxing",10,25100,9.3,81.4,1.94,"Jan"
"75","2024","Block 4","RT-13",2024-01-18,"21:12","Waxing",10,24200,9.5,69.1,1.89,"Jan"
"76","2024","Block 4","RT-14",2024-01-19,"0:12","Waxing",10,23100,9.6,65.4,1.78,"Jan"
"77","2024","Block 4","RT-15",2024-01-19,"3:19","Waxing",10,24700,9.6,59.6,1.9,"Jan"
"78","2024","Block 4","RT-16",2024-01-19,"6:12","Waxing",10,24900,9.6,53,1.93,"Jan"
"79","2024","Block 4","RT-17",2024-01-19,"8:55","Waxing",10,22100,9.6,54.5,1.66,"Jan"
"80","2024","Block 4","RT-18",2024-01-19,"11:42","Waxing",10,21600,9.6,46.5,1.57,"Jan"
"81","2024","Block 4","RT-19",2024-01-19,"15:00","Waxing",10,25700,9.6,42.6,1.88,"Jan"
"82","2024","Block 4","RT-2",2024-01-17,"12:09","Waxing",10,24800,8.7,160,1.82,"Jan"
"83","2024","Block 4","RT-20",2024-01-19,"17:22","Waxing",10,27300,9.7,41.8,2.03,"Jan"
"84","2024","Block 4","RT-21",2024-01-19,"21:07","Waxing",10,27400,9.9,55.8,2.08,"Jan"
"85","2024","Block 4","RT-22",2024-01-20,"0:07","Waxing",10,25200,9.9,55.8,1.89,"Jan"
"86","2024","Block 4","RT-23",2024-01-20,"3:10","Waxing",10,24900,9.9,53.7,1.85,"Jan"
"87","2024","Block 4","RT-24",2024-01-20,"6:15","Waxing",10,25900,9.8,54.2,1.93,"Jan"
"88","2024","Block 4","RT-3",2024-01-17,"15:14","Waxing",10,26500,8.7,174,1.98,"Jan"
"89","2024","Block 4","RT-4",2024-01-17,"18:10","Waxing",10,26300,8.7,179,2.01,"Jan"
"90","2024","Block 4","RT-5",2024-01-17,"21:09","Waxing",10,23800,8.9,172,1.81,"Jan"
"91","2024","Block 4","RT-6",2024-01-18,"0:18","Waxing",10,24100,9,149,1.83,"Jan"
"92","2024","Block 4","RT-7",2024-01-18,"3:08","Waxing",10,25000,9,135,1.94,"Jan"
"93","2024","Block 4","RT-8",2024-01-18,"6:07","Waxing",10,23800,9,117,1.86,"Jan"
"94","2024","Block 4","RT-9",2024-01-18,"9:15","Waxing",10,19800,9,107,1.5,"Jan"
"95","2024","Block 5","RT-1",2024-02-14,"9:14","Waxing",10,50500,10.5,35.1,3,"Feb"
"96","2024","Block 5","RT-10",2024-02-15,"12:02","Waxing",10,50000,10.8,35.6,3,"Feb"
"97","2024","Block 5","RT-11",2024-02-15,"14:53","Waxing",10,50500,10.8,35.2,3.04,"Feb"
"98","2024","Block 5","RT-12",2024-02-15,"18:07","Waxing",10,49800,10.8,33.3,3.02,"Feb"
"99","2024","Block 5","RT-13",2024-02-15,"21:10","Waxing",10,49500,10.7,34,3.01,"Feb"
"100","2024","Block 5","RT-14",2024-02-16,"0:11","Waxing",10,49400,10.6,32.5,3,"Feb"
"101","2024","Block 5","RT-15",2024-02-16,"3:07","Waxing",10,49400,10.7,32.7,3.01,"Feb"
"102","2024","Block 5","RT-16",2024-02-16,"6:11","Waxing",10,48500,10.8,31,2.96,"Feb"
"103","2024","Block 5","RT-17",2024-02-16,"8:55","Waxing",10,48500,10.8,31.5,2.94,"Feb"
"104","2024","Block 5","RT-18",2024-02-16,"12:23","Waxing",10,50000,10.8,31.3,3.01,"Feb"
"105","2024","Block 5","RT-19",2024-02-16,"15:13","Waxing",10,49500,10.8,30.5,3,"Feb"
"106","2024","Block 5","RT-2",2024-02-14,"12:12","Waxing",10,50200,10.6,34.8,3,"Feb"
"107","2024","Block 5","RT-20",2024-02-16,"18:12","Waxing",10,50100,10.7,30.4,3.05,"Feb"
"108","2024","Block 5","RT-21",2024-02-16,"21:10","Waxing",10,49700,10.7,30.8,3.03,"Feb"
"109","2024","Block 5","RT-22",2024-02-17,"0:09","Waxing",10,49900,10.7,29.8,3.03,"Feb"
"110","2024","Block 5","RT-23",2024-02-17,"3:17","Waxing",10,49600,10.8,30.5,3.01,"Feb"
"111","2024","Block 5","RT-24",2024-02-17,"6:14","Waxing",10,49800,10.8,30,3.02,"Feb"
"112","2024","Block 5","RT-3",2024-02-14,"15:15","Waxing",10,50200,10.6,34.9,3.02,"Feb"
"113","2024","Block 5","RT-4",2024-02-14,"18:00","Waxing",10,49900,10.6,33.7,3.01,"Feb"
"114","2024","Block 5","RT-5",2024-02-14,"21:14","Waxing",10,50100,10.6,35.2,3.01,"Feb"
"115","2024","Block 5","RT-6",2024-02-15,"0:05","Waxing",10,50900,10.5,34.5,3.06,"Feb"
"116","2024","Block 5","RT-7",2024-02-15,"3:11","Waxing",10,50200,10.6,33.1,3.03,"Feb"
"117","2024","Block 5","RT-8",2024-02-15,"6:08","Waxing",10,49800,10.6,34.3,3,"Feb"
"118","2024","Block 5","RT-9",2024-02-15,"9:15","Waxing",10,49400,10.7,30.6,2.95,"Feb"
"119","2024","Block 6","RT-1",2024-04-17,"9:13","Waxing",10,33500,14.2,13.1,2.34,"Apr"
"120","2024","Block 6","RT-10",2024-04-18,"12:10","Waxing",10,32800,14.8,15.7,2.29,"Apr"
"121","2024","Block 6","RT-11",2024-04-18,"15:17","Waxing",10,32500,15.1,14.5,2.25,"Apr"
"122","2024","Block 6","RT-12",2024-04-18,"18:08","Waxing",10,33400,NA,NA,2.33,"Apr"
"123","2024","Block 6","RT-13",2024-04-18,"21:16","Waxing",10,33500,NA,NA,2.37,"Apr"
"124","2024","Block 6","RT-14",2024-04-19,"0:08","Waxing",10,32900,NA,NA,2.33,"Apr"
"125","2024","Block 6","RT-15",2024-04-19,"3:16","Waxing",10,30800,NA,NA,2.14,"Apr"
"126","2024","Block 6","RT-16",2024-04-19,"6:15","Waxing",10,32200,15.1,15.6,2.23,"Apr"
"127","2024","Block 6","RT-17",2024-04-19,"9:20","Waxing",10,32600,15.3,14.4,2.28,"Apr"
"128","2024","Block 6","RT-18",2024-04-19,"12:12","Waxing",10,32500,15.6,13.9,2.28,"Apr"
"129","2024","Block 6","RT-19",2024-04-19,"15:06","Waxing",10,31200,15.9,13.4,2.16,"Apr"
"130","2024","Block 6","RT-2",2024-04-17,"12:11","Waxing",10,32700,14.4,14.2,2.26,"Apr"
"131","2024","Block 6","RT-20",2024-04-19,"18:08","Waxing",10,31900,16,12.9,2.22,"Apr"
"132","2024","Block 6","RT-21",2024-04-19,"21:12","Waxing",10,32900,16,14.4,2.32,"Apr"
"133","2024","Block 6","RT-22",2024-04-20,"0:19","Full",10,31600,15.9,13.7,2.25,"Apr"
"134","2024","Block 6","RT-23",2024-04-20,"3:11","Full",10,29900,15.8,14.2,2.09,"Apr"
"135","2024","Block 6","RT-24",2024-04-20,"6:14","Full",10,30600,15.8,13.2,2.13,"Apr"
"136","2024","Block 6","RT-3",2024-04-17,"15:13","Waxing",10,33300,NA,NA,2.31,"Apr"
"137","2024","Block 6","RT-4",2024-04-17,"18:08","Waxing",10,34300,NA,NA,2.39,"Apr"
"138","2024","Block 6","RT-5",2024-04-17,"21:21","Waxing",10,34300,NA,NA,2.43,"Apr"
"139","2024","Block 6","RT-6",2024-04-18,"0:12","Waxing",10,32900,NA,NA,2.32,"Apr"
"140","2024","Block 6","RT-7",2024-04-18,"3:18","Waxing",10,32200,NA,NA,2.23,"Apr"
"141","2024","Block 6","RT-8",2024-04-18,"6:17","Waxing",10,33400,NA,NA,2.32,"Apr"
"142","2024","Block 6","RT-9",2024-04-18,"9:10","Waxing",10,33400,14.4,18.2,2.34,"Apr"
"143","2024","Block 7","RT-1",2024-04-24,"9:20","Full",10,30400,17.2,10.3,2.14,"Apr"
"144","2024","Block 7","RT-10",2024-04-25,"12:08","Full",10,33800,16.2,10,2.34,"Apr"
"145","2024","Block 7","RT-11",2024-04-25,"15:10","Full",10,NA,NA,NA,NA,"Apr"
"146","2024","Block 7","RT-12",2024-04-25,"18:02","Full",10,NA,NA,NA,NA,"Apr"
"147","2024","Block 7","RT-13",2024-04-25,"21:18","Full",10,NA,NA,NA,NA,"Apr"
"148","2024","Block 7","RT-14",2024-04-26,"0:12","Full",10,34100,16,10.2,2.34,"Apr"
"149","2024","Block 7","RT-15",2024-04-26,"3:13","Full",10,32700,16.1,11.3,2.24,"Apr"
"150","2024","Block 7","RT-16",2024-04-26,"6:12","Full",10,31900,16,9.9,2.14,"Apr"
"151","2024","Block 7","RT-17",2024-04-26,"9:14","Full",10,33300,16,10.1,2.24,"Apr"
"152","2024","Block 7","RT-18",2024-04-26,"12:07","Full",10,34900,16,10.1,2.38,"Apr"
"153","2024","Block 7","RT-19",2024-04-26,"15:07","Full",10,34800,16.1,9.9,2.4,"Apr"
"154","2024","Block 7","RT-2",2024-04-24,"12:15","Full",10,31400,17.1,9.8,2.24,"Apr"
"155","2024","Block 7","RT-20",2024-04-26,"18:00","Full",10,33300,16.1,10.3,2.3,"Apr"
"156","2024","Block 7","RT-21",2024-04-26,"21:15","Full",10,33000,16.2,10.8,2.26,"Apr"
"157","2024","Block 7","RT-22",2024-04-27,"0:18","Waning",10,33400,16.1,10.8,2.29,"Apr"
"158","2024","Block 7","RT-23",2024-04-27,"3:12","Waning",10,33300,15.9,10.5,2.29,"Apr"
"159","2024","Block 7","RT-24",2024-04-27,"6:13","Waning",10,31800,15.8,10.6,2.16,"Apr"
"160","2024","Block 7","RT-3",2024-04-24,"15:12","Full",10,31100,16.9,10.9,2.24,"Apr"
"161","2024","Block 7","RT-4",2024-04-24,"18:07","Full",10,29500,16.8,12,2.09,"Apr"
"162","2024","Block 7","RT-5",2024-04-24,"21:11","Full",10,30600,16.8,11.5,2.14,"Apr"
"163","2024","Block 7","RT-6",2024-04-25,"0:10","Full",10,32100,16.7,11.3,2.26,"Apr"
"164","2024","Block 7","RT-7",2024-04-25,"3:10","Full",10,30700,16.6,11,2.14,"Apr"
"165","2024","Block 7","RT-8",2024-04-25,"6:10","Full",10,30500,16.5,10.8,2.08,"Apr"
"166","2024","Block 7","RT-9",2024-04-25,"9:08","Full",10,32600,16.3,11.2,2.23,"Apr"
"167","2025","Block 1","RT-1",2024-12-04,"9:31","New",10,22200,10.1,17.2,1.7,"Dec"
"168","2025","Block 1","RT-10",2024-12-05,"12:14","Waxing",10,20000,10.5,15.3,1.58,"Dec"
"169","2025","Block 1","RT-11",2024-12-05,"15:14","Waxing",10,18700,10.5,15.7,1.47,"Dec"
"170","2025","Block 1","RT-12",2024-12-05,"18:08","Waxing",10,15800,10.4,13.9,1.21,"Dec"
"171","2025","Block 1","RT-13",2024-12-05,"21:17","Waxing",10,19400,10.4,14.5,1.5,"Dec"
"172","2025","Block 1","RT-14",2024-12-06,"0:20","Waxing",10,21300,10.6,14.4,1.69,"Dec"
"173","2025","Block 1","RT-15",2024-12-06,"3:19","Waxing",10,21600,10.5,14.8,1.77,"Dec"
"174","2025","Block 1","RT-16",2024-12-06,"6:27","Waxing",10,18000,10.5,15.4,1.48,"Dec"
"175","2025","Block 1","RT-17",2024-12-06,"9:13","Waxing",10,15500,10.6,14.9,1.24,"Dec"
"176","2025","Block 1","RT-18",2024-12-06,"12:09","Waxing",10,17700,10.7,13.4,1.41,"Dec"
"177","2025","Block 1","RT-19",2024-12-06,"15:04","Waxing",10,18200,10.8,14.1,1.47,"Dec"
"178","2025","Block 1","RT-2",2024-12-04,"12:11","New",10,22700,10.3,17.1,1.75,"Dec"
"179","2025","Block 1","RT-20",2024-12-06,"18:06","Waxing",10,14800,10.7,14,1.17,"Dec"
"180","2025","Block 1","RT-21",2024-12-06,"21:18","Waxing",10,17100,10.6,12.9,1.35,"Dec"
"181","2025","Block 1","RT-22",2024-12-07,"0:13","Waxing",9,19200,10.7,14.2,1.55,"Dec"
"182","2025","Block 1","RT-23",2024-12-07,"3:13","Waxing",10,20000,10.8,15,1.67,"Dec"
"183","2025","Block 1","RT-24",2024-12-07,"6:12","Waxing",10,17500,10.7,14.6,1.47,"Dec"
"184","2025","Block 1","RT-3",2024-12-04,"15:11","New",10,20300,10.3,17.9,1.55,"Dec"
"185","2025","Block 1","RT-4",2024-12-04,"18:16","New",10,19500,10.2,16.8,1.46,"Dec"
"186","2025","Block 1","RT-5",2024-12-04,"21:25","New",10,22500,10.3,17.1,1.71,"Dec"
"187","2025","Block 1","RT-6",2024-12-05,"0:24","Waxing",10,23500,10.4,17.9,1.84,"Dec"
"188","2025","Block 1","RT-7",2024-12-05,"3:23","Waxing",10,23300,10.3,17.2,1.87,"Dec"
"189","2025","Block 1","RT-8",2024-12-05,"6:18","Waxing",10,19700,10.2,15.8,1.57,"Dec"
"190","2025","Block 1","RT-9",2024-12-05,"9:23","Waxing",10,18600,10.3,14.8,1.45,"Dec"
"191","2025","Block 2","RT-1",2024-12-11,"9:05","Waxing",10,11000,10.1,9.6,0.94,"Dec"
"192","2025","Block 2","RT-10",2024-12-12,"12:00","Full",10,5540,10.1,6.1,0.43,"Dec"
"193","2025","Block 2","RT-11",2024-12-12,"14:59","Full",10,12800,10.1,6.4,0.97,"Dec"
"194","2025","Block 2","RT-12",2024-12-12,"18:58","Full",10,17600,10.1,9.5,1.4,"Dec"
"195","2025","Block 2","RT-13",2024-12-12,"21:05","Full",10,18400,10.2,9.6,1.5,"Dec"
"196","2025","Block 2","RT-14",2024-12-13,"0:05","Full",10,16100,10.2,10.1,1.34,"Dec"
"197","2025","Block 2","RT-15",2024-12-13,"3:01","Full",10,12500,10.1,8.6,1,"Dec"
"198","2025","Block 2","RT-16",2024-12-13,"6:00","Full",10,15400,10.2,8.9,1.25,"Dec"
"199","2025","Block 2","RT-17",2024-12-13,"9:08","Full",10,16000,10.1,10,1.32,"Dec"
"200","2025","Block 2","RT-18",2024-12-13,"11:57","Full",10,8300,10.1,7,0.65,"Dec"
"201","2025","Block 2","RT-19",2024-12-13,"15:04","Full",10,12300,10.2,7.4,0.93,"Dec"
"202","2025","Block 2","RT-2",2024-12-11,"11:58","Waxing",10,6550,10.2,6.7,0.52,"Dec"
"203","2025","Block 2","RT-20",2024-12-13,"17:54","Full",10,17400,10.1,9.5,1.35,"Dec"
"204","2025","Block 2","RT-21",2024-12-13,"22:59","Full",10,19100,10.1,13.8,1.58,"Dec"
"205","2025","Block 2","RT-22",2024-12-14,"0:01","Full",10,18300,10.1,12.9,1.52,"Dec"
"206","2025","Block 2","RT-23",2024-12-14,"2:58","Full",10,13400,10,11.7,1.08,"Dec"
"207","2025","Block 2","RT-24",2024-12-14,"5:59","Full",9,14400,10.1,11,1.14,"Dec"
"208","2025","Block 2","RT-3",2024-12-11,"14:58","Waxing",10,13900,10.3,8.3,1.11,"Dec"
"209","2025","Block 2","RT-4",2024-12-11,"17:59","Waxing",10,16200,10.1,9.8,1.33,"Dec"
"210","2025","Block 2","RT-5",2024-12-11,"21:06","Waxing",10,17200,10.1,10.7,1.47,"Dec"
"211","2025","Block 2","RT-6",2024-12-12,"0:03","Full",10,11900,10.1,9.2,1,"Dec"
"212","2025","Block 2","RT-7",2024-12-12,"3:01","Full",10,11700,10.1,7.9,0.96,"Dec"
"213","2025","Block 2","RT-8",2024-12-12,"6:06","Full",10,15200,10.1,7.9,1.26,"Dec"
"214","2025","Block 2","RT-9",2024-12-12,"8:59","Full",10,13100,10.1,8.4,1.09,"Dec"
"215","2025","Block 3","RT-1",2025-01-08,"9:04","Waxing",10,46100,10.2,NA,2.92,"Jan"
"216","2025","Block 3","RT-10",2025-01-09,"11:56","Waxing",10,41500,10.3,32.6,2.66,"Jan"
"217","2025","Block 3","RT-11",2025-01-09,"14:57","Waxing",10,42600,10.4,30.6,2.73,"Jan"
"218","2025","Block 3","RT-12",2025-01-09,"17:53","Waxing",10,43500,10.3,31,2.83,"Jan"
"219","2025","Block 3","RT-13",2025-01-09,"21:01","Waxing",10,43400,10.2,31.7,2.86,"Jan"
"220","2025","Block 3","RT-14",2025-01-10,"0:04","Waxing",10,42400,10.2,30.1,2.81,"Jan"
"221","2025","Block 3","RT-15",2025-01-10,"3:05","Waxing",10,41300,10.2,NA,2.73,"Jan"
"222","2025","Block 3","RT-16",2025-01-10,"6:01","Waxing",10,41800,10.3,30.6,2.78,"Jan"
"223","2025","Block 3","RT-17",2025-01-10,"8:59","Waxing",10,40800,10.3,31.8,2.72,"Jan"
"224","2025","Block 3","RT-18",2025-01-10,"11:57","Waxing",10,38800,10.3,30.8,2.55,"Jan"
"225","2025","Block 3","RT-19",2025-01-10,"14:55","Waxing",10,39600,10.4,30.5,2.59,"Jan"
"226","2025","Block 3","RT-2",2025-01-08,"11:56","Waxing",10,46100,10.3,38.6,2.89,"Jan"
"227","2025","Block 3","RT-20",2025-01-10,"17:59","Waxing",10,41000,10.3,30.1,2.71,"Jan"
"228","2025","Block 3","RT-21",2025-01-10,"20:59","Waxing",10,41100,10.2,30.6,2.76,"Jan"
"229","2025","Block 3","RT-23",2025-01-11,"3:00","Full",10,38500,10.1,29.8,2.61,"Jan"
"230","2025","Block 3","RT-24",2025-01-11,"6:00","Full",10,39000,10.2,30.2,2.63,"Jan"
"231","2025","Block 3","RT-3",2025-01-08,"15:01","Waxing",10,46100,10.3,39.6,2.9,"Jan"
"232","2025","Block 3","RT-4",2025-01-08,"17:57","Waxing",10,45800,10.2,41.2,2.91,"Jan"
"233","2025","Block 3","RT-5",2025-01-08,"20:59","Waxing",10,45700,10.1,36.5,2.94,"Jan"
"234","2025","Block 3","RT-7",2025-01-09,"3:04","Waxing",10,44200,10.2,33.5,2.86,"Jan"
"235","2025","Block 3","RT-8",2025-01-09,"5:59","Waxing",10,44200,10.3,37.2,2.88,"Jan"
"236","2025","Block 3","RT-9",2025-01-09,"9:12","Waxing",10,42700,10.2,33.7,2.78,"Jan"
"237","2025","Block 4","RT-1",2025-01-15,"8:57","Full",10,32600,9.3,21.6,2.3,"Jan"
"238","2025","Block 4","RT-10",2025-01-16,"11:50","Full",9,31400,9.5,20.1,2.24,"Jan"
"239","2025","Block 4","RT-11",2025-01-16,"14:58","Full",10,30000,9.6,20.7,2.15,"Jan"
"240","2025","Block 4","RT-12",2025-01-16,"17:57","Full",10,28300,9.5,19.8,1.99,"Jan"
"241","2025","Block 4","RT-13",2025-01-16,"21:04","Full",10,30600,9.5,20.2,2.17,"Jan"
"242","2025","Block 4","RT-14",2025-01-17,"0:03","Full",10,31800,9.5,19.5,2.29,"Jan"
"243","2025","Block 4","RT-15",2025-01-17,"3:01","Full",10,30700,9.4,20.9,2.26,"Jan"
"244","2025","Block 4","RT-16",2025-01-17,"5:59","Full",10,28400,9.4,20.6,2.07,"Jan"
"245","2025","Block 4","RT-17",2025-01-17,"9:00","Full",10,27800,9.4,20.1,2,"Jan"
"246","2025","Block 4","RT-18",2025-01-17,"11:58","Full",10,29100,9.6,19.3,2.11,"Jan"
"247","2025","Block 4","RT-19",2025-01-17,"14:57","Full",10,28400,9.7,19,2.08,"Jan"
"248","2025","Block 4","RT-2",2025-01-15,"12:04","Full",10,32900,9.5,21.9,2.34,"Jan"
"249","2025","Block 4","RT-20",2025-01-17,"17:56","Full",10,26300,9.7,19.5,1.89,"Jan"
"250","2025","Block 4","RT-21",2025-01-17,"21:01","Full",10,28200,9.7,17,2.03,"Jan"
"251","2025","Block 4","RT-23",2025-01-18,"2:59","Waning",10,28800,9.6,17.5,2.16,"Jan"
"252","2025","Block 4","RT-24",2025-01-18,"5:58","Waning",10,26200,9.6,19.2,1.96,"Jan"
"253","2025","Block 4","RT-3",2025-01-15,"15:01","Full",10,30500,9.5,22.5,2.14,"Jan"
"254","2025","Block 4","RT-4",2025-01-15,"17:58","Full",10,30200,9.5,20.3,2.09,"Jan"
"255","2025","Block 4","RT-5",2025-01-15,"21:00","Full",10,32700,9.5,20.4,2.28,"Jan"
